iter	Passed	Remaining
138	2757	17079
139	2777	17062
140	2798	17048
141	2817	17024
142	2837	17004
143	2855	16975
144	2875	16953
145	2895	16936
146	2916	16924
147	2936	16905
148	2956	16885
149	2976	16867
150	2995	16844
151	3015	16825
152	3036	16809
153	3056	16793
154	3077	16775
155	3095	16745
156	3113	16718
157	3132	16695
158	3151	16670
159	3169	16641
160	3188	16616
161	3206	16585
162	3226	16567
163	3246	16548
164	3267	16533
165	3287	16517
166	3305	16490
167	3324	16463
168	3345	16449
169	3366	16435
170	3386	16415
171	3405	16396
172	3426	16377
173	3447	16364
174	3468	16349
175	3488	16332
176	3508	16313
177	3528	16294
178	3548	16273
179	3566	16249
180	3588	16237
181	3607	16213
182	3626	16190
183	3646	16172
184	3665	16150
185	3684	16126
186	3703	16101
187	3724	16086
188	3744	16067
189	3762	16039
190	3780	16013
191	3798	15985
192	3819	15969
193	3837	15945
194	3855	15915
195	3874	15892
196	3894	15873
197	3912	15849
198	3931	15823
199	3948	15795
200	3966	15769
201	3987	15751
202	4006	15730
203	4025	15705
204	4044	15683
205	4062	15659
206	4085	15651
207	4105	15632
208	4124	15611
209	4142	15583
210	4160	15558
211	4180	15538
212	4199	15515
213	4219	15496
214	4237	15472
215	4255	15446
216	4273	15419
217	4290	15390
218	4310	15370
219	4328	15347
220	4348	15326
221	4365	15299
222	4382	15270
223	4402	15252
224	4421	15229
225	4438	15201
226	4462	15194
227	4479	15168
228	4497	15143
229	4515	15117
230	4535	15097
231	4553	15074
232	4573	15054
233	4593	15036
234	4614	15021
235	4633	15001
236	4652	14977
237	4671	14956
238	4689	14931
239	4707	14906
240	4726	14883
241	4744	14860
242	4761	14832
243	4779	14807
244	4796	14782
245	4821	14777
246	4840	14755
247	4859	14735
248	4877	14711
249	4894	14683
250	4911	14656
251	4928	14628
252	4946	14605
253	4965	14583
254	4985	14566
255	5006	14551
256	5027	14533
257	5046	14514
258	5066	14495
259	5089	14485
260	5127	14518
261	5150	14508
262	5175	14504
263	5213	14535
264	5243	14542
265	5268	14537
266	5289	14522
267	5310	14505
268	5329	14483
269	5351	14467
270	5373	14455
271	5394	14439
272	5414	14419
273	5434	14400
274	5455	14382
275	5476	14364
276	5496	14345
277	5515	14324
278	5534	14302
279	5552	14277
280	5574	14262
281	5593	14240
282	5614	14223
283	5632	14199
284	5653	14182
285	5671	14159
286	5689	14134
287	5707	14109
288	5726	14088
289	5745	14066
290	5766	14049
291	5785	14028
292	5804	14006
293	5823	13984
294	5841	13960
295	5859	13936
296	5877	13912
297	5895	13887
298	5913	13864
299	5930	13838
300	5948	13813
301	5967	13792
302	5985	13769
303	6004	13748
304	6023	13724
305	6042	13703
306	6061	13682
307	6078	13657
308	6098	13637
309	6116	13613
310	6133	13588
311	6151	13564
312	6169	13540
313	6188	13521
314	6210	13505
315	6230	13487
316	6250	13467
317	6269	13445
318	6289	13427
319	6308	13406
320	6329	13388
321	6347	13365
322	6366	13344
323	6385	13322
324	6405	13304
325	6424	13282
326	6447	13268
327	6466	13249
328	6487	13230
329	6506	13209
330	6528	13195
331	6551	13181
332	6573	13165
333	6596	13153
334	6620	13142
335	6639	13120
336	6659	13102
337	6679	13083
338	6697	13059
339	6715	13035
340	6738	13022
341	6760	13006
342	6779	12985
343	6806	12978
344	6831	12970
345	6860	12968
346	6885	12956
347	6912	12950
348	6934	12935
349	6961	12928
350	6988	12922
351	7015	12915
352	7038	12901
353	7064	12892
354	7131	12956
355	7160	12953
356	7192	12955
357	7233	12971
358	7261	12964
359	7287	12954
360	7312	12943
361	7334	12927
362	7363	12921
363	7388	12909
364	7416	12902
365	7442	12892
366	7471	12886
367	7494	12871
368	7515	12850
369	7535	12831
370	7561	12819
371	7590	12813
372	7621	12811
373	7646	12799
374	7671	12785
375	7694	12770
376	7715	12750
377	7736	12730
378	7756	12708
379	7775	12687
380	7795	12664
381	7814	12642
382	7834	12620
383	7853	12598
384	7872	12576
385	7892	12554
386	7909	12528
387	7928	12505
388	7945	12479
389	7965	12458
390	7983	12434
391	8001	12410
392	8021	12388
393	8043	12370
394	8065	12353
395	8083	12329
396	8105	12311
397	8122	12286
398	8141	12263
399	8159	12239
400	8178	12217
401	8197	12193
402	8215	12170
403	8232	12145
